,feature_comb,r2,mae,mpea,timecost,epochs,learning_rate,y_test_predict
60,"['date', 'CHN10', 'SHERONG', 'GOVBOND', 'SHI', 'CPI', 'GKBOND', 'GOLD']",0.8536,0.0794,0.0269,23.7175,10000,0.1,"[[3.4285824]
 [3.4285927]
 [3.4396224]
 ...
 [3.0945537]
 [3.0881917]
 [3.0877388]]"
61,"['date', 'CHN10', 'SHERONG', 'GOVBOND', 'SHI', 'CPI', 'GKBOND', 'GOLD']",0.9561,0.0482,0.016,23.5325,10000,0.01,"[[3.3725932]
 [3.3681166]
 [3.3924782]
 ...
 [2.6245248]
 [2.6124694]
 [2.614136 ]]"
62,"['date', 'CHN10', 'SHERONG', 'GOVBOND', 'SHI', 'CPI', 'GKBOND', 'GOLD']",0.9123,0.0615,0.0207,23.6119,10000,0.001,"[[3.3775685]
 [3.381078 ]
 [3.4032874]
 ...
 [2.6103544]
 [2.594291 ]
 [2.6033835]]"
63,"['date', 'CHN10', 'SHERONG', 'GKBOND']",-0.0023,0.2948,0.0926,0.214,100,0.1,"[[3.242754]
 [3.242754]
 [3.242754]
 ...
 [3.242754]
 [3.242754]
 [3.242754]]"
64,"['date', 'CHN10', 'SHERONG', 'GKBOND']",0.89,0.0858,0.0286,0.2699,100,0.01,"[[3.4430733]
 [3.4411032]
 [3.465215 ]
 ...
 [2.954594 ]
 [2.954594 ]
 [2.954594 ]]"
65,"['date', 'CHN10', 'SHERONG', 'GKBOND']",-0.09,0.2988,0.0871,0.2481,100,0.001,"[[3.16157  ]
 [3.1608622]
 [3.1674337]
 ...
 [2.811565 ]
 [2.8093832]
 [2.8097792]]"
66,"['date', 'CHN10', 'SHERONG', 'GKBOND']",0.9285,0.0674,0.022,2.349,1000,0.1,"[[3.4833906]
 [3.4814515]
 [3.5078187]
 ...
 [2.5963407]
 [2.5963407]
 [2.5963407]]"
67,"['date', 'CHN10', 'SHERONG', 'GKBOND']",0.9677,0.0473,0.0153,2.3809,1000,0.01,"[[3.4259977]
 [3.4251363]
 [3.44923  ]
 ...
 [2.613626 ]
 [2.592456 ]
 [2.5960205]]"
68,"['date', 'CHN10', 'SHERONG', 'GKBOND']",0.868,0.0851,0.0257,2.3773,1000,0.001,"[[3.5884652]
 [3.588817 ]
 [3.5888174]
 ...
 [2.782284 ]
 [2.7867107]
 [2.7859287]]"
69,"['date', 'CHN10', 'SHERONG', 'GKBOND']",-0.0005,0.2933,0.0918,23.5835,10000,0.1,"[[3.2335641]
 [3.2335641]
 [3.2335641]
 ...
 [3.2335641]
 [3.2335641]
 [3.2335641]]"
70,"['date', 'CHN10', 'SHERONG', 'GKBOND']",0.933,0.0627,0.0208,23.4184,10000,0.01,"[[3.3855734]
 [3.382627 ]
 [3.4330955]
 ...
 [2.564174 ]
 [2.5506582]
 [2.55297  ]]"
71,"['date', 'CHN10', 'SHERONG', 'GKBOND']",0.9393,0.0587,0.0196,23.3752,10000,0.001,"[[3.404913 ]
 [3.4046216]
 [3.4345784]
 ...
 [2.5752304]
 [2.5562773]
 [2.5596225]]"
