,feature_num,comb_num,feature_comb,r2,mae,mpea,timecost
227,4,99,"['date', 'CHN10', 'PMI', 'OECD', 'ERSHOU', 'SPOT']",,,,
228,4,100,"['date', 'CHN10', 'PMI', 'OECD', 'ERSHOU', 'IRBOND']",,,,
229,4,101,"['date', 'CHN10', 'PMI', 'OECD', 'SPOT', 'IRBOND']",,,,
230,4,102,"['date', 'CHN10', 'PMI', 'JIANZHU', 'XINJIAN', 'ERSHOU']",,,,
231,4,103,"['date', 'CHN10', 'PMI', 'JIANZHU', 'XINJIAN', 'SPOT']",,,,
232,4,104,"['date', 'CHN10', 'PMI', 'JIANZHU', 'XINJIAN', 'IRBOND']",,,,
233,4,105,"['date', 'CHN10', 'PMI', 'JIANZHU', 'ERSHOU', 'SPOT']",,,,
234,4,106,"['date', 'CHN10', 'PMI', 'JIANZHU', 'ERSHOU', 'IRBOND']",,,,
235,4,107,"['date', 'CHN10', 'PMI', 'JIANZHU', 'SPOT', 'IRBOND']",,,,
236,4,108,"['date', 'CHN10', 'PMI', 'XINJIAN', 'ERSHOU', 'SPOT']",,,,
237,4,109,"['date', 'CHN10', 'PMI', 'XINJIAN', 'ERSHOU', 'IRBOND']",,,,
238,4,110,"['date', 'CHN10', 'PMI', 'XINJIAN', 'SPOT', 'IRBOND']",,,,
239,4,111,"['date', 'CHN10', 'PMI', 'ERSHOU', 'SPOT', 'IRBOND']",,,,
240,4,112,"['date', 'CHN10', 'OECD', 'JIANZHU', 'XINJIAN', 'ERSHOU']",,,,
241,4,113,"['date', 'CHN10', 'OECD', 'JIANZHU', 'XINJIAN', 'SPOT']",,,,
242,4,114,"['date', 'CHN10', 'OECD', 'JIANZHU', 'XINJIAN', 'IRBOND']",,,,
243,4,115,"['date', 'CHN10', 'OECD', 'JIANZHU', 'ERSHOU', 'SPOT']",,,,
244,4,116,"['date', 'CHN10', 'OECD', 'JIANZHU', 'ERSHOU', 'IRBOND']",,,,
245,4,117,"['date', 'CHN10', 'OECD', 'JIANZHU', 'SPOT', 'IRBOND']",,,,
246,4,118,"['date', 'CHN10', 'OECD', 'XINJIAN', 'ERSHOU', 'SPOT']",,,,
247,4,119,"['date', 'CHN10', 'OECD', 'XINJIAN', 'ERSHOU', 'IRBOND']",,,,
248,4,120,"['date', 'CHN10', 'OECD', 'XINJIAN', 'SPOT', 'IRBOND']",,,,
249,4,121,"['date', 'CHN10', 'OECD', 'ERSHOU', 'SPOT', 'IRBOND']",,,,
250,4,122,"['date', 'CHN10', 'JIANZHU', 'XINJIAN', 'ERSHOU', 'SPOT']",,,,
251,4,123,"['date', 'CHN10', 'JIANZHU', 'XINJIAN', 'ERSHOU', 'IRBOND']",,,,
252,4,124,"['date', 'CHN10', 'JIANZHU', 'XINJIAN', 'SPOT', 'IRBOND']",,,,
253,4,125,"['date', 'CHN10', 'JIANZHU', 'ERSHOU', 'SPOT', 'IRBOND']",,,,
254,4,126,"['date', 'CHN10', 'XINJIAN', 'ERSHOU', 'SPOT', 'IRBOND']",,,,
255,5,1,"['date', 'CHN10', 'INDU', 'PPI', 'PMI', 'OECD', 'JIANZHU']",,,,
256,5,2,"['date', 'CHN10', 'INDU', 'PPI', 'PMI', 'OECD', 'XINJIAN']",,,,
257,5,3,"['date', 'CHN10', 'INDU', 'PPI', 'PMI', 'OECD', 'ERSHOU']",,,,
258,5,4,"['date', 'CHN10', 'INDU', 'PPI', 'PMI', 'OECD', 'SPOT']",,,,
259,5,5,"['date', 'CHN10', 'INDU', 'PPI', 'PMI', 'OECD', 'IRBOND']",,,,
260,5,6,"['date', 'CHN10', 'INDU', 'PPI', 'PMI', 'JIANZHU', 'XINJIAN']",,,,
261,5,7,"['date', 'CHN10', 'INDU', 'PPI', 'PMI', 'JIANZHU', 'ERSHOU']",,,,
262,5,8,"['date', 'CHN10', 'INDU', 'PPI', 'PMI', 'JIANZHU', 'SPOT']",,,,
263,5,9,"['date', 'CHN10', 'INDU', 'PPI', 'PMI', 'JIANZHU', 'IRBOND']",,,,
264,5,10,"['date', 'CHN10', 'INDU', 'PPI', 'PMI', 'XINJIAN', 'ERSHOU']",,,,
265,5,11,"['date', 'CHN10', 'INDU', 'PPI', 'PMI', 'XINJIAN', 'SPOT']",,,,
266,5,12,"['date', 'CHN10', 'INDU', 'PPI', 'PMI', 'XINJIAN', 'IRBOND']",,,,
267,5,13,"['date', 'CHN10', 'INDU', 'PPI', 'PMI', 'ERSHOU', 'SPOT']",,,,
268,5,14,"['date', 'CHN10', 'INDU', 'PPI', 'PMI', 'ERSHOU', 'IRBOND']",,,,
269,5,15,"['date', 'CHN10', 'INDU', 'PPI', 'PMI', 'SPOT', 'IRBOND']",,,,
270,5,16,"['date', 'CHN10', 'INDU', 'PPI', 'OECD', 'JIANZHU', 'XINJIAN']",,,,
271,5,17,"['date', 'CHN10', 'INDU', 'PPI', 'OECD', 'JIANZHU', 'ERSHOU']",,,,
272,5,18,"['date', 'CHN10', 'INDU', 'PPI', 'OECD', 'JIANZHU', 'SPOT']",,,,
273,5,19,"['date', 'CHN10', 'INDU', 'PPI', 'OECD', 'JIANZHU', 'IRBOND']",,,,
274,5,20,"['date', 'CHN10', 'INDU', 'PPI', 'OECD', 'XINJIAN', 'ERSHOU']",,,,
275,5,21,"['date', 'CHN10', 'INDU', 'PPI', 'OECD', 'XINJIAN', 'SPOT']",,,,
276,5,22,"['date', 'CHN10', 'INDU', 'PPI', 'OECD', 'XINJIAN', 'IRBOND']",,,,
277,5,23,"['date', 'CHN10', 'INDU', 'PPI', 'OECD', 'ERSHOU', 'SPOT']",,,,
278,5,24,"['date', 'CHN10', 'INDU', 'PPI', 'OECD', 'ERSHOU', 'IRBOND']",,,,
279,5,25,"['date', 'CHN10', 'INDU', 'PPI', 'OECD', 'SPOT', 'IRBOND']",,,,
280,5,26,"['date', 'CHN10', 'INDU', 'PPI', 'JIANZHU', 'XINJIAN', 'ERSHOU']",,,,
281,5,27,"['date', 'CHN10', 'INDU', 'PPI', 'JIANZHU', 'XINJIAN', 'SPOT']",,,,
282,5,28,"['date', 'CHN10', 'INDU', 'PPI', 'JIANZHU', 'XINJIAN', 'IRBOND']",,,,
